000, 자사타, 97, 172, 32.79, 과체중
001, 하타사, 54, 141, 27.16, 과체중
002, 차파가, 92, 155, 38.29, 과체중
003, 차자가, 76, 173, 25.39, 과체중
004, 라파바, 59, 181, 18.01, 저체중
005, 가타사, 43, 180, 13.27, 저체중
006, 차다라, 42, 170, 14.53, 저체중
007, 사라카, 70, 150, 31.11, 과체중
008, 나나나, 73, 156, 30.0, 과체중
009, 가카마, 40, 197, 10.31, 저체중
010, 하가자, 69, 159, 27.29, 과체중
011, 마다파, 81, 143, 39.61, 과체중
012, 다나마, 71, 153, 30.33, 과체중
013, 자가아, 81, 200, 20.25, 정상체중
014, 사자차, 41, 187, 11.72, 저체중
015, 아가차, 88, 152, 38.09, 과체중
016, 라가타, 40, 160, 15.62, 저체중
017, 마다바, 43, 164, 15.99, 저체중
018, 바아가, 93, 175, 30.37, 과체중
019, 파사바, 77, 169, 26.96, 과체중
020, 파마다, 79, 140, 40.31, 과체중
021, 아가가, 76, 189, 21.28, 정상체중
022, 바타아, 42, 170, 14.53, 저체중
023, 가사아, 77, 166, 27.94, 과체중
024, 마바바, 59, 150, 26.22, 과체중
025, 자사자, 59, 162, 22.48, 정상체중
026, 바타파, 66, 160, 25.78, 과체중
027, 자가사, 74, 195, 19.46, 정상체중
028, 마가카, 73, 171, 24.96, 정상체중
029, 사자다, 48, 143, 23.47, 정상체중
030, 자하자, 58, 161, 22.38, 정상체중
031, 타카하, 83, 200, 20.75, 정상체중
032, 다하차, 57, 193, 15.3, 저체중
033, 카나파, 73, 195, 19.2, 정상체중
034, 자가카, 52, 152, 22.51, 정상체중
035, 자차바, 92, 167, 32.99, 과체중
036, 라마타, 46, 140, 23.47, 정상체중
037, 차사파, 79, 184, 23.33, 정상체중
038, 타카사, 89, 189, 24.92, 정상체중
039, 파라마, 98, 146, 45.97, 과체중
040, 사차차, 53, 167, 19.0, 정상체중
041, 라마타, 97, 179, 30.27, 과체중
042, 라자카, 89, 198, 22.7, 정상체중
043, 자가마, 46, 144, 22.18, 정상체중
044, 하다바, 42, 169, 14.71, 저체중
045, 하가사, 46, 152, 19.91, 정상체중
046, 다바마, 54, 191, 14.8, 저체중
047, 사타가, 56, 182, 16.91, 저체중
048, 하차마, 82, 170, 28.37, 과체중
049, 타카차, 90, 199, 22.73, 정상체중
050, 다라다, 41, 191, 11.24, 저체중
